,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_S,Max_S,avg_salary,Country,age_company,python,java,machine learning,aws,Job,Seniority
94,Data Scientist,67 - 127 ,"Summary
Posted: Nov 5, 2021
Weekly Hours: 40
Role Number:200305461
We're idealists. Inventors. Forever tinkering with products and processes, always on the lookout for better. Whether you work at our global offices, offsite, or even at home, a job at Apple will be demanding. But it also rewards forward-thinking, creative thinking and hard work. And none of us here would have it any other way. Does an exciting, dynamic, fast paced and pressure-filled environment catch your attention? Do you like puzzles and determining solutions that are not obvious? Terrific! Consider joining us. We are looking for experienced individual who will focus on exploratory analysis and development of innovative components to grow engagement of users, specifically in the areas of feature usage behavior and conversion optimization. If this is you we are interested!",4.3,Apple,"Minneapolis, MN",10000+ Employees,1976.0,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),67,127,97.0,MN,45.0,0,0,0,0,data scientist,na
95,Data Scientist,67 - 127 ,"Bachelor's Degree
1+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)
Job summary
This new role in the ES Tech will establish world class data science/business intelligence, analytics and reporting for Amazonians as part of building the Personalization Engine for myHR. This key role will work closely with internal partners to assist in developing and managing solutions for ES Tech.

Core Responsibilities:
Manage and execute entire projects or components of large projects from start to finish including data gathering and manipulation, synthesis and modeling, problem solving, and communication of insights and recommendations.
Masters or PhD in Mathematics, Computer Science, Engineering, Statistics, or similar discipline 8+ years of relevant working experience in an analytical role. - Excellent communication skills, both written and oral with both technical and business people. Ability to speak at a level appropriate for the audience.
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, visit https://www.amazon.jobs/en/disability/us

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.7,Amazon.com Services LLC,"New York, NY",10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),67,127,97.0,NY,27.0,1,0,0,0,data scientist,na
96,Junior Data Scientist - Evernorth,67 - 127 ,"The job profile for this position is Data Science Lead Analyst, which is a Band 3 Contributor Career Track Role.

This position is with Evernorth, a new business within the Cigna Corporation.

Responsibilities:
Manage model governance needs for business partners.

Review model design, assumptions and performance as they relate to disparate metrics identified in our model governance framework. Provide guidance on mitigation actions.

Work cross-functionally to enforce adherence to the model governance framework and provide ongoing support for enhancements to the methodology.

Monitor and manage model governance KPIs of business partners around usage, disparity metrics and performance tracking

Participate in ongoing implementation of the governance procedure and various efforts in model standardization, automation, and inventory management.

Implement periodic model reviews and validation procedure for models in production.


Bachelors in Quantitative fields such as Mathematics, Decision Science, Operations Research, Computer Science, Economics, Statistics, Engineering or equivalent work experience.

2+ years of strong technical skills to extract and analyze data with proficiency in SAS, Python, or R.

Strong understanding of statistics, probability theory, applied mathematics, and numerical optimization methods with broad exposure to modern machine learning models.

Strong interpersonal skills and an outstanding ability to build relationships and navigate within a complex organization.

Self-awareness, maturity, ability to collaborate as part of the multi-disciplinary team.

Passionate self-starter to collaborate with stakeholders to establish trust & transparency in model life-cycles.

Experience in established institutions requiring implementing regulatory and / or consensus-driven methodology and model validation guidelines preferred

This role is WFH (Work From Home) which allows most work to be performed at home. Employees must be fully vaccinated if they choose to come onsite.

This position is not eligible to be performed in Colorado.

About Evernorth
Evernorth, Cigna Corporation’s health services segment, exists to elevate health for all. We're building on our legacy and redefining health care as we know it. Unbiased in how we think, we create without limitation. We partner without constraints, deliver value differently and act in the interest of humanity. Solving across silos, closing gaps in care, and empowering clients, customers, and people everywhere to move onward and upward. When you work with us, you’ll be empowered to solve the problems others don’t, won’t or can’t. Join us. What difference will you make?

Qualified applicants will be considered without regard to race, color, age, disability, sex, childbirth (including pregnancy) or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.

If you require reasonable accommodation in completing the online application process, please email: SeeYourself@cigna.com for support. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.",3.7,Cigna,"Hartford, CT",10000+ Employees,1865.0,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),67,127,97.0,CT,156.0,1,0,1,1,data scientist,na
97,Data Scientist I,67 - 127 ,"Organizational Information

At Children’s Wisconsin, we believe kids deserve the best.
Children’s Wisconsin is a nationally recognized health system dedicated solely to the health and well-being of children. We provide primary care, specialty care, urgent care, emergency care, community health services, foster and adoption services, child and family counseling, child advocacy services and family resource centers. Our reputation draws patients and families from around the country.
We offer a wide variety of rewarding career opportunities and are seeking individuals dedicated to helping us achieve our vision of the healthiest kids in the country. If you want to work for an organization that makes a difference for children and families, and encourages you to be at your best every day, please apply today.",4.2,Children's Wisconsin,"Milwaukee, WI",1001 to 5000 Employees,1985.0,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),67,127,97.0,WI,36.0,0,0,0,1,data scientist,na
98,Data Scientist - TikTok Ads,67 - 127 ,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

About The Tiktok Monetization Product Data Science Team
We're the TikTok Monetization Products data science team, who enables and champions data driven decision making. Our Vision is to become the world class data science team, where data is used rigorously to drive all decision making. Our Mission is to drive monetization and sustainable revenue growth for TikTok through data science.

Responsibilities:
1. Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
2. Build and prototype analysis pipelines iteratively to provide insights at scale.
3. Develop comprehensive knowledge of Tiktok data structures and metrics, advocating for changes where needed for product development.
Interact cross-functionally, making business recommendations (e.g., cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
4. Research and develop analysis, forecasting, and optimization methods to improve the quality of Tiktok ads products.
1. Master's degree in a quantitative discipline (e.g., Statistics, Operations Research, 2. Economics, Computer Science, Mathematics, Physics) or equivalent practical experience.
3. 5-7 years of relevant work experience, including expertise with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.
4. Experience with statistical software (e.g. R, Python, MATLAB) and database languages (e.g. SQL)
4. Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques.
6. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Effective written and verbal communication skills.

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.",-1.0,TikTok,"Seattle, WA",501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,67,127,97.0,WA,5.0,1,0,0,0,data scientist,na
99,Data Scientist,67 - 127 ,"Data Scientist

Do you want to build your brand by working for a leading consulting firm that drives eminence in the marketplace? Are you interested in leveraging your analytical skills and strategic ideas to improve mission execution? If so, Deloitte could be the place for you! Our Government & Public Services (GPS) Strategy and Analytics team brings deep industry expertise, rigorous analytical capabilities and a pragmatic mindset to help solve our client's most complex business problems. Join our team and play a key role in helping to design our clients' roadmap to the future and help transform the GPS marketplace

Work you'll do

The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to enterprise data to advance and enable key mission outcomes. In this role, they will support all phases of analytic work product development, from the identification of key business questions to ETL, from performing analyses to delivery of insights to decision-makers, with particular attention to the interplay between data and the business processes that produce and consume it.

Travel up to 10% (While 10% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice.)



Analytics & Cognitive

In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.

The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.

Analytics & Cognitive will work with our clients to:






Required:

Preferred:



How you'll grow

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.",4.0,Deloitte,"Reston, VA",10000+ Employees,1850.0,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),67,127,97.0,VA,171.0,0,0,0,0,data scientist,na
101,Data Scientist,67 - 127 ,"The Role:
At Tesla, we move at warp speed and demand planning, distribution and logistics is at the forefront of the evolution of Tesla’s supply chain as we embark on transformational change in the coming months. We have an ambitious vision and a complex portfolio of programs that enable Tesla’s future.
As a Data Scientist on the Demand Planning team, you will be responsible for architecting and prescribing evolutionary roadmap for Tesla’s global and regional demand signals for Service Parts Supply Chain. You will have ownership over end-to-end process from identification of opportunities and bottlenecks in the supply chain to delivery of solutions. You’ll drive projects across multiple geographies – NAMR, EMEA, and APAC - and touch multiple domains – demand planning and inventory management. We are looking for a driven contributor who is goal-oriented, results driven, and data-centric.",3.7,Tesla,"Fremont, CA",10000+ Employees,2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),67,127,97.0,CA,18.0,0,0,0,0,data scientist,na
102,Data Scientist - Data Analytics,67 - 127 ,"This is an environment unlike anything in the high-tech world and the secret of Costco’s success is its culture. The value Costco puts on its employees is well documented in articles from a variety of publishers including Bloomberg and Forbes. Our employees and our members come FIRST. Costco is well known for its generosity and community service and has won many awards for its philanthropy. The company joins with its employees to take an active role in volunteering by sponsoring many opportunities to help others. In 2018, Costco contributed over $39 million to organizations such as United Way and Children's Miracle Network Hospitals.
Costco IT is responsible for the technical future of Costco Wholesale, the second largest retailer in the world with wholesale operations in twelve countries. Despite our size and explosive international expansion, we continue to provide a family, employee centric atmosphere in which our employees thrive and succeed. As proof, Costco consistently ranks in the .",4.1,Costco Wholesale,"Seattle, WA",10000+ Employees,1976.0,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD),67,127,97.0,WA,45.0,0,0,0,0,data scientist,na
103,Data Sciences & AI Graduate Programme - US,67 - 127 ,"Data Sciences & AI Graduate Programme
Locations: Boston, Gaithersburg, US
Salary: Competitive + Excellent Benefits
Fuel your curiosity, feel valued and follow the science
If you have a bachelor’s or master’s degree and a desire to explore and develop your skills in data science and artificial intelligence within a global biopharmaceutical organisation, our Data Science & AI Graduate Programme could be the perfect start to your career. You’ll gain invaluable insight, exposure and opportunities across our diverse, Research and Development organisation. We’ll accelerate your learning and help you achieve your potential.",4.2,AstraZeneca,"Waltham, MA",10000+ Employees,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),67,127,97.0,MA,108.0,0,0,0,0,na,na
104,REMOTE - Data Scientist,67 - 127 ,"Responsible for leveraging data to provide insights and information that support a fact-based decision making process. Work with Finance partners to close data visibility gaps, add automation and reproducibility to routine analyses, and recommend appropriate approaches to key business and financial modeling activities.
Use analytical and statistical methods to analyze large amounts of data, extracting actionable insights using advanced techniques such as data analysis, data mining, optimization tools, and machine learning.
Develop and deploy predictive models based on historical data that provide future predictions of performance or behavior.
Validate and refine model assumptions with statistical analysis and testing.
Build and maintain stable, scalable data models.",-1.0,Labcorp,"Westborough, MA",10000+ Employees,1995.0,Company - Public,Research & Development,Business Services,$10+ billion (USD),67,127,97.0,MA,26.0,0,0,1,0,data scientist,na
105,Data Scientist - 3PD Research,67 - 127 ,"Company Summary
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Target Openings
1
Job Description Summary
Travelers Data Scientists are taking the organization to the next level of intelligence by using advanced statistical techniques and machine learning algorithms. As a Data Scientist, you will work with business partners to tell the story using data by identifying challenges and opportunities for data analysis and experiments. You will build models that solve key business challenges and enhance our customer experience.

Travelers offers a hybrid work location model that is designed to support flexibility.",4.0,Travelers,"Hartford, CT",10000+ Employees,1853.0,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),67,127,97.0,CT,168.0,0,0,1,0,data scientist,na
106,Data Scientist - Marketing Analytics,67 - 127 ,"Facility: PREMIER Bankcard
Location: Sioux Falls, South Dakota
Shift: Monday - Friday 8:00 a.m. - 5:00 p.m. (flexible)
Job Schedule: Full-Time, Exempt Status
If you are interested in uncovering the story with data and impacting change, we are looking for you. In this role, you will be responsible for using data to effectively analyze, forecast, and tell the story of consumer behavior and marketing campaign performance. These efforts include items such as email marketing campaigns, aggregator profitability reviews, organic traffic reporting, online branding efforts, and digital experiences. You will provide insights that help guide strategic business decisions. Ideal candidates have very strong data analysis/visualization skills, can query data, and they enjoy balancing strategic thinking with detailed, tactical execution. They are strong communicators and can effectively consult with stakeholders to understand requirements and develop recommendations. They think creatively to find innovative solutions to complex analytical questions and drive actionable recommendations.",3.9,PREMIER Bankcard LLC,"Sioux Falls, SD",51 to 200 Employees,-1.0,Company - Private,Banks & Credit Unions,Finance,$50 to $100 million (USD),67,127,97.0,SD,2022.0,0,0,0,0,data scientist,na
107,Marketing Data Scientist,67 - 127 ,"About the job:
The Red Hat Marketing Operations team is looking for a Marketing Data Scientist to join us. In this role, you will deliver advanced analytics to support global marketing. You’ll work closely with a team of data scientists, data engineers, and marketing stakeholders to build and operationalize predictive, scalable solutions that empower marketers to optimize marketing activities. You will be engaged in projects that will require an array of analytical skills, including requirements gathering, data management, modeling, testing, and automation. As a Marketing Data Scientist, you will have an opportunity to use your strengths and develop your skills to deliver solutions that support a global marketing team in generating demand and contributing to a sales pipeline. Successful applicants must reside in a state where Red Hat is registered to do business.
What you will do:
Partner with data scientists and stakeholders to identify opportunities to use machine learning (ML), data mining, and statistical methods to analyze and build predictive models from large, disparate data sets
What you will bring:


About Red Hat:",4.4,Red Hat Software,"Raleigh, NC",10000+ Employees,1993.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),67,127,97.0,NC,28.0,0,0,1,0,data scientist,na
108,Data Scientist,67 - 127 ,"As a Data Scientist,
You will be working with product owners, program managers, developers, business stakeholders, and executives to deeply understand customer problems and priorities.
You will lead cross-functional projects by applying your analysis techniques to create advanced data modeling and discover insights. These insights that will be foundations for strategic decisions and uncover optimization opportunities.
You will dive into various datasets, becoming a subject matter expert on the data generated by and used by our User Experience, Product, Client onboarding, Support, and service teams. Your expertise will be catalyst to growth.
You will be comfortable with big data systems, intimately familiar with machine learning and statistical methods, and experienced in applying these to solve business problems.
You will shepherd models through the internal validation process, participate in overall project design and delivery with QA's other functional teams and end clients.",3.7,"JPMorgan Chase Bank, N.A.","Jersey City, NJ",10000+ Employees,1799.0,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$10+ billion (USD),67,127,97.0,NJ,222.0,0,0,1,0,data scientist,na
109,"Sr. Lead, Data Scientist",67 - 127 ,"Under Armour strives to promote from within whenever possible. To be considered for this opportunity, you must have been in your current position a minimum of 12 months, not currently on disciplinary probation, and meet the minimum qualifications for this role. Additionally, please ensure that you have received your current supervisor’s approval and notified your HRBP if applying for a position outside of your current department.
Under Armour has one mission: to make you better. We have a commitment to innovation that lies at the heart of everything we do, not just for our athletes but also for our teammates. As a global organization, our teams around the world push boundaries and think beyond what is expected. Together our teammates are unified by our values and are grounded in our vision to inspire you with performance solutions you never knew you needed but can’t imagine living without.",3.9,Under Armour,"Baltimore, MD",10000+ Employees,1996.0,Company - Public,Sporting Goods Stores,Retail,$2 to $5 billion (USD),67,127,97.0,MD,25.0,0,0,0,0,data scientist,senior
110,"Customer Intelligence Data Scientist - Opportunity for Working Remotely Bridgeport, CT",67 - 127 ,"At VMware, we are preparing for the transformation of VMware to an even more customer-centric, cloud-ready company, which has resulted in a newly created and unified Customer Experience and Success Team. This has been as a result of many months of talking to our customers, as well as studying best practices in the software industry. This new organization will help to take VMware to the next level of customer satisfaction and success. This newly formed group has brought together various key functions and roles that are crucial to our customer experience. This includes Customer Success, Global Services, Technical Support, Premier Support, Technical Account Management and Professional Services.
Our goal is to create an integrated and agile team that can deliver a best-in-class customer experience at scale, across our five solution areas. We lead with putting the customer at the center of everything we do. This new organization will be better positioned to transition to proactively and prescriptively guide our customers to value realization outcomes. We will do so through designed and reconciled winning customer experiences. Our team will lead the way servicing our customers programmatically and help scale customer success to do the same. Furthermore, we expect this team and with laser-focus commitment to our customers to help accelerate VMware’s evolution to a software-as-a-service company and significantly raise VMware’s Net Promoter Score (NPS).







VMware’s Customer Experience and Success team is devoted to helping our customers realize outcomes everywhere – whether they are engaging with our Customer Success, Professional Services, Global Support, or Learning teams. We are driven by our service code of customer advocacy, trusted guidance, and cross-functional team work. The Customer Success team is laser-focused on the health of our customers and ensuring they are realizing the most value from their VMware investments. If you have a passion for making your customers successful, join a team who is dedicated to helping customers achieve their business outcomes in the fastest time possible.

VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.

Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law.",-1.0,VMware,"Bridgeport, CT",10000+ Employees,1998.0,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),67,127,97.0,CT,23.0,0,0,0,1,data scientist,na
111,Data Scientist,67 - 127 ,"Job Description
The Translational Data Analytics Institute at Ohio State is seeking a full-time data scientist to join our team. The TDAI Data Scientist is a new position that will assume primary responsibility for establishing and leading TDAI's Data Science Services and TDAI's Data Literacy Program.

Data Science Services: The Data Scientist will support academic research across the university by designing and implementing practical solutions to data science challenges. This position will be responsible for standing-up TDAI's data science services and leading a team of post-doctoral/graduate student data fellows to work on diverse, collaborative research projects, providing data science consultation and services/support for the OSU research community. The Data Scientist will be expected to partner with others on the TDAI team in business development and proposal writing activities.

Data Literacy Program: The Data Scientist will be responsible for establishing and leading TDAI's program in data literacy by leveraging other current trainings across campus and by developing new workshops and trainings to address unmet needs of internal and external clients. The Data Scientist will be expected to develop workshop materials and teach students, staff and faculty in data science methods and technologies.


Doctorate


Required:
PhD in Data Science, Statistics, Computer Science, Mathematics, Engineering or other data analysis-intensive discipline
Technical & Teaching Skills
Complex dataset management and data integration
Experience solving real-world problems by applying statistical modeling and machine learning methods on complex data sets
Expertise in programming languages (e.g., C, R, or Python) and software development
Experience with mixed effect models, time series analysis, data visualization, text mining or language processing
Experience developing materials for and conducting trainings/workshops on topics, methods and/or technologies relevant to data science and analytics
Leadership & Management Skills
Experience working in and leading interdisciplinary teams to solve data-driven problems
Ability to organize, manage, prioritize and work on multiple projects
Experience supervising post-doctoral fellows and/or graduate students








Regular 40 First Shift",4.2,The Ohio State University,"Columbus, OH",10000+ Employees,1870.0,College / University,Colleges & Universities,Education,$5 to $10 billion (USD),67,127,97.0,OH,151.0,1,0,1,0,data scientist,na
112,Clinical Analytics Data Scientist,67 - 127 ,"Company :
AHI agilon health, inc.
Location :
Remote - USA
Job Title :
Clinical Analytics Data Scientist
Job Description :",3.8,Agilon Health,Remote,201 to 500 Employees,2016.0,Company - Public,-1,-1,Unknown / Non-Applicable,67,127,97.0,te,5.0,0,0,0,0,data scientist,na
113,Data Scientist,67 - 127 ,"Job Summary

Applies advanced data analysis tools and techniques to provide insights and actionable recommendations for the business. Utilizes complex statistical modeling to make predictions about future outcomes and in multiple scenarios. May explain findings to business audience.

Job Responsibilities

Responsible for applying advanced data analysis tools and techniques to provide insights and actionable recommendations for the business. Utilizes complex statistical modeling to make predictions about future outcomes and in multiple scenarios.
Interprets and applies data in complex analyses, and explains findings to business audiences to improve products and processes.",3.1,WALGREENS,"Deerfield, IL",10000+ Employees,1901.0,Company - Public,Drug & Health Stores,Retail,$10+ billion (USD),67,127,97.0,IL,120.0,0,0,0,0,data scientist,na
114,Data Scientist,67 - 127 ,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment application is true to the best of my knowledge.
Job Description
Baxalta US Inc. is seeking a Data Scientist in Round Lake, IL with the following requirements: Master’s degree in Computer Science or related field or foreign academic equivalent plus 1 year and 6 months of related experience. Will accept any level of experience in the following skills: develop various machine learning models using various regression, classification, NLP and clustering techniques in R programming language; implement complex visual models using Power BI and R libraries; automate repetitive tasks using R, C# SQL,VBA; integrate structured data from multiple databases TERADATA, MySQL, IBM DB2 and unstructured data from REST APIs into one place for richer insights.
USA - IL - Round Lake - Drug Delivery
Employee
Regular
Full time",3.9,Takeda Pharmaceutical,"Round Lake Beach, IL",10000+ Employees,1781.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),67,127,97.0,IL,240.0,0,0,1,0,data scientist,na
115,Operational Data Scientist,67 - 127 ,"The Company
At Sofar we connect the world's oceans. We build the technology to create global awareness of ocean weather, climate, and ocean health. Our unique ocean data provides insights to science and society, and our products make ocean industries more sustainable. As a mission-driven team we combine the best in ocean science and Bay Area innovation to capture the canvas of our oceans and drive the new Blue Economy.
The Position
Wayfinder, Sofar's weather routing service, provides daily speed and route guidance to large bulk carriers and container vessels to avoid dangerous weather, save fuel, and reduce carbon emissions. To accomplish this we use data-driven vessel performance models that help us accurately predict fuel consumption required to overcome resistance due to drag, wind and waves while maintaining an optimal speed. We are looking for a data analyst to help create and maintain bespoke vessel performance models for our costumers.",4.5,Sofar Ocean,California,1 to 50 Employees,2016.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,67,127,97.0,ia,5.0,0,0,0,0,data scientist,na
116,Data Scientist,67 - 127 ,"Do you like to apply Data Science in the development of machine processes and Vision Systems in the consumer goods industry? Do you like to solve manufacturing challenges? How would you like to turn on your creative genius and problem-solving to design next generation smart manufacturing systems that deliver superior quality products for consumers? If this sounds like fun, we are looking for someone with your skills and abilities.
As a Data Scientist, you will use modern data analysis and machine learning approaches to help us to develop and understand complex manufacturing systems. You will be working with a highly talented cross-functional team of R&D scientists and engineers with expertise in R&D, manufacturing processes and data infrastructure. This role has a unique ability to use the power of data science to deliver insights and drive end to end thinking starting from raw material to manufacturing processes to final product as delivered to our consumers. Ultimately you will be turning insights derived from data science into actionable recommendations that drive business value.",4.2,Procter & Gamble,"Cincinnati, OH",10000+ Employees,1837.0,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),67,127,97.0,OH,184.0,0,0,1,0,data scientist,na
117,"Data Scientist, Analytics",67 - 127 ,"Data Scientist, Analytics
Novome is a microbiome therapeutics company building genetically engineered microbial medicines (GEMMs) that perform defined activities in the human gut to treat chronic diseases. We have developed the first platform for controlled colonization of the gut with engineered therapeutic bacteria and are applying this to multiple disease areas as well as expanding our platform capabilities. Our lead program in secondary hyperoxaluria is currently in a Phase 1 clinical trial, and we are actively progressing programs in IBS, IBD, and Immuno-oncology.
We are seeking a Data Scientist (title commensurate with experience) to join the Data Science team. Our team provides data solutions to streamline the scientific decision-making process at Novome via data software products and data services for research staff. Our ideal candidate is someone who is excited to develop our internal data analytics platform and empower researchers to more effectively draw insights from experimental data. As an early member of the Data Science team, you will have the unique opportunity to explore diverse growth areas in Data Science & Analytics, partner with cross-functional R&D teams to create novel and impactful data solutions and shape the data culture at Novome.",4.0,Novome Biotechnologies,"South San Francisco, CA",1 to 50 Employees,2016.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,67,127,97.0,CA,5.0,0,0,0,0,data scientist,na
118,DATA SCIENTIST: SAP Next Talent - Rotational Program (2022 Grads),67 - 127 ,"What we offer
Our company culture is focused on helping our employees enable innovation by building breakthroughs together. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from. Apply now!

SAP Next Talent will launch your career by diving into the vast, innovative world of SAP. The 18-month rotational program allows you to Explore, Develop, and Make an Impact as a full-time employee. Here’s how:",4.5,SAP,"Palo Alto, CA",10000+ Employees,1972.0,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),67,127,97.0,CA,49.0,0,0,0,0,data scientist,na
119,Data Scientist,67 - 127 ,"Description: Brunner is an integrated marketing agency with a fast-paced, creative environment. We value Heart, Collaboration, and Attitude in every aspect of our business, especially our team members.
The Data Scientist at Brunner is responsible for executing data science activities across Brunner clients by being a major contributor to the development of key deliverables.
Data Scientists at Brunner find usable insights hidden in data for our clients. You will communicate those insights to internal teams, clients, and sometimes feed them into automated systems you have built. You accomplish all this by applying data mining techniques, statistical analysis, and high-quality production deployment for a variety of marketing problems such as: identifying best markets or customers, estimating, optimizing, and forecasting marketing campaign performance, processing unstructured data, and predicting behavior.
Data management tasks include data collection from a wide variety of sources, ingestion, transformation, loading, and quality control. You will demonstrate progress at working across the full analytics project lifecycle, from (1) requirements and scoping; through (2) data acquisition and management; through (3) exploratory data analysis; through (4) the implementation of machine learning algorithms and statistical methods; through (5) insight generation and communication to stakeholders.",4.6,M J Brunner Inc,"Atlanta, GA",51 to 200 Employees,-1.0,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,67,127,97.0,GA,2022.0,0,0,1,0,data scientist,na
120,Data Sciences & AI Graduate Programme - US,77 - 125 ,"Data Sciences & AI Graduate Programme
Locations: Boston, Gaithersburg, US
Salary: Competitive + Excellent Benefits
Fuel your curiosity, feel valued and follow the science
If you have a bachelor’s or master’s degree and a desire to explore and develop your skills in data science and artificial intelligence within a global biopharmaceutical organisation, our Data Science & AI Graduate Programme could be the perfect start to your career. You’ll gain invaluable insight, exposure and opportunities across our diverse, Research and Development organisation. We’ll accelerate your learning and help you achieve your potential.",4.2,AstraZeneca,"Waltham, MA",10000+ Employees,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),77,125,101.0,MA,108.0,0,0,0,0,na,na
